Experimental Day,Type,Day,NoStim_1,NoStim_2,NoStim_3,NoStim_4,NoStim_5,NoStim_6,Stimx3+2wks_1,Stimx3+2wks_2,Stimx3+2wks_3,Stimx3+2wks_4,Stimx3+2wks_5,Stimx3+2wks_6,Stimx10+2wks_1,Stimx10+2wks_2,Stimx10+2wks_3,Stimx10+2wks_4,Stimx10+2wks_5,Stimx10+2wks_6,Average_NoStim,Average_Stimx3+2wks,Average_Stimx10+2wks,STDEV_NoStim,STDEV_Stimx3+2wks,STDEV_Stimx10+2wks,SEM_NoStim,SEM_Stimx3+2wks,SEM_Stimx10+2wks
[0711],Stim1,1,2589.2,3090,3420.2,2246,3511.2,2852.3,2280.3,1820.3,3001.9,2400.2,2993.8,2587.3,4057.1,3188.9,3273.1,3126.2,3484.9,3465.2,2951.483333,2513.966667,3432.566667,488.0488107,508.295965,602.2816741,488.0488107,508.295965,602.2816741
[0712],Stim2,2,2364.1,3063.7,2731.2,3995.9,3563,2132.9,3454.7,3136.2,3088,2501.3,3075.6,2825.7,3567.5,7973.6,3535,5124.9,4498.3,3681.9,2975.133333,3013.583333,4730.2,712.4069137,722.769668,739.18575,290.8389046,131.2424002,697.8184215
[0713],Stim3,3,2162.9,3482.8,3737.5,3114.1,3421.1,2106.1,2521.1,2667.7,2896.8,3042.9,4442.4,2513.5,8026.5,4391.7,7982.6,4572.9,8493.8,2838.2,3004.083333,3014.066667,6050.95,702.4300233,635.98986,663.4471886,286.7658562,298.2321206,980.8345184
[0714],Stim4,4,2252.1,3464.1,3574.7,3216.3,3599.7,3118.3,3405,2599.5,2994.1,3933.8,3704.5,3206,6285.4,5723.4,3939.3,4783.6,4503.7,4009.6,3204.2,3307.15,4874.166667,505.0263637,216.486055,213.3345729,206.1761496,197.412598,386.4227328
[0715],Stim5,5,2006.6,2883.7,3226.9,4174.3,2232.4,2411.7,3539.9,2129.9,4171.5,3861.3,4412.2,2747.5,8603.1,5884.5,4378.7,4289.1,3512.6,3004.8,2822.6,3477.05,4945.466667,797.1593868,771.0849888,804.482901,325.4389569,358.4885324,833.2946828
[0716],Stim6,6,2499.4,2185.8,2916.5,3567.6,2219.3,2788.5,3154.8,2910.4,2917.8,2992.6,3716.8,3022,5794.4,6073.6,3391.2,3419.5,3979.4,3309.9,2696.183333,3119.066667,4328,518.2781779,569.3401734,495.571794,211.5861801,124.9036713,518.2812743
[0717],Stim7,7,3508.4,2484.7,4240.4,3292,2897.5,1809.3,3760,2388.4,3525.9,3425.3,3810.1,3546.1,8678.9,7325.5,4871,5441.9,3726.8,4518.6,3038.716667,3409.3,5760.45,844.6466324,908.6276394,926.0195425,344.8255437,212.7936199,764.5750684
[0718],Stim8,8,2804.5,3669.9,3550.5,3273.1,2580.9,2928,3184.7,2543.9,2931.7,3082.5,3767.7,3914,6703.4,10570.3,6069.1,5156.5,5139.4,7880.5,3134.483333,3237.416667,6919.866667,432.8820459,448.9620051,367.1095177,176.7233552,211.3584387,842.5885752
[0719],Stim9,9,2485.4,3254.9,4463.4,3500,4143.3,2717.5,6252.9,10028.7,3790.9,8721.6,5981.8,8423.5,6507.4,5988.3,3671.2,5185.9,7120,4782.3,3427.416667,7199.9,5542.516667,776.1646511,697.725474,1320.379702,316.8678919,927.6625626,510.7219461
[0720],Stim10,10,3496.9,3834.8,4183,3530.7,4113.4,3415.2,4496.5,5127.9,3145.8,4586.5,7059.8,3734.4,7828.2,8895.8,5615.1,4492.2,6549.9,5286.5,3762.333333,4691.816667,6444.616667,331.6836063,341.1466869,458.652715,135.4092652,552.375722,677.6171512
[0721],Wait1,11,2314.7,3033.9,4090.7,3829.2,3089.8,2954,3906.6,3545.1,3419.6,3659.5,8436.6,3409,6829.5,6492.4,4696.5,5427.9,6295,3666.4,3218.716667,4396.066667,5567.95,643.6058714,522.1224061,515.1646125,262.7509967,811.581783,495.6359354
[0722],Wait2,12,2770.2,2907,4290.9,3988.3,3813.8,3127.5,4840,3224.6,3763.1,3931.8,2662.9,4498.5,8336.1,5749.3,4623.1,4921.6,7242.6,6326.9,3482.95,3820.15,6199.933333,629.8728784,586.1066754,629.5939842,257.1445258,327.1024577,577.0641851
[0723],Wait3,13,3705.8,3070.1,5545.1,4290.8,2658.1,2327.2,5552.5,3194.8,4057.8,4123.8,3588.5,5196.8,5689.5,6904.9,5059.5,5761.7,5189,6039.1,3599.516667,4285.7,5773.95,1188.25926,1327.238201,1537.301208,485.1048116,373.6837397,271.3693421
[0724],Wait4,14,3353.2,3576.6,3584.7,3966.7,3293.4,3300.6,4494.9,5113.7,2725,3231.2,3703,4550.8,7221,7380.3,4268,3272.4,9873.2,5067.3,3512.533333,3969.766667,6180.366667,258.4191144,275.4258793,509.2141229,105.4991617,369.144843,991.8351606
[0725],Wait5,15,2840.2,2980.1,4932.8,3859.1,2872.3,1554.5,4451.5,3014.2,3006.9,3686.7,4085.3,4448.5,5683.8,7735.9,3226.4,4271.7,4945.3,4408.3,3173.166667,3782.183333,5045.233333,1133.627635,1254.244585,1347.25692,462.801544,269.8037638,631.6548043
[0726],Wait6,16,2866,2415.5,5236,4697.2,3047.4,2663.1,5185.5,3376.1,3526.6,4208.2,,4563.1,5875.3,8914.2,3366.1,3966.4,2646.1,4847.1,3487.533333,4171.9,4935.866667,1177.233703,1271.39997,1222.33669,480.6036466,304.9214257,919.5037613
[0727],Wait7,17,2831.2,3195.1,4630.4,4995,3060.3,2271.4,4898.5,3330.4,3545.6,4086.1,3910.7,4833.2,7284,7381.3,4476,5450.3,4601.4,3169.1,3497.233333,4100.75,5393.683333,1072.924483,1142.750438,1231.021445,438.0195861,265.257883,681.8051811
[0728],Wait8,18,3256.2,3935.2,4758.4,3939.7,4576,2870.8,5173.6,3469.1,3764.7,3783.8,4374.4,4749.4,3407.2,8249.6,5225.7,4844.4,5804.8,3135.8,3889.383333,4219.166667,5111.25,730.711501,739.6943842,896.5661995,298.3117211,269.2503082,757.6443571
[0729],Wait9,19,3510.9,3957.4,4586.2,4895.6,3367.8,2631,5170.9,2820,3289.5,4040.6,3113.8,4128,4900.5,7667.2,5062.5,4963.9,4428.7,2452.9,3824.816667,3760.466667,4912.616667,833.8424322,916.2714663,1084.62943,340.4147474,352.4836901,680.6211028
[0730],Wait10,20,3358.2,3584.9,3990.5,3838.1,3255.4,2333,4105.9,3107.1,3358.8,3350.5,4109.3,4710.9,4721.4,7601.3,6401.4,4705,4552.6,1877.1,3393.35,3790.416667,4976.466667,589.1841707,658.4465255,732.0570244,240.5334305,251.3461868,792.5628234
[0731],Wait11,21,2852.1,3552.5,5923.6,4171.6,3376.7,2979.6,5206.1,2686.6,3420.7,3754.1,3874.3,4166.5,5292,6900.5,4581.1,2566.4,5046.5,3598.1,3809.35,3851.383333,4664.1,1136.59568,1157.546502,1231.31558,464.0132432,340.9180414,607.8805645
[0801],Wait12,22,3290.1,2474,5565.3,4292.7,3144.2,2947.1,4418.7,2586.5,4344.7,3190.2,3988.2,3291.3,4649.3,6316.2,4951.4,4556.6,3108.7,2338.4,3618.9,3636.6,4320.1,1125.881004,1245.823909,1063.608753,459.6389953,297.6532457,575.6701787
[0802],Wait13,23,2314.3,2342.5,5130.3,4481.4,3286.3,2067.8,5413.1,2277.7,3931.6,2934.3,3565.4,3568.5,4814.5,5408.8,4217.8,6696.3,2271,2057.5,3270.433333,3615.1,4244.316667,1276.508848,1327.624293,1389.264837,521.1325549,431.653615,738.6970888
[0803],Wait14,24,2017,2374,4692.8,3952.3,3198.8,2638.9,3591.9,2426.7,2812.8,2643.3,2983.2,3514,5461.2,5829,4462.8,6961.7,5521.3,2890.2,3145.633333,2995.316667,5187.7,1017.179667,1619.655523,1630.446404,415.2618601,191.9760287,564.163663
