"","genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Rmrp",19.4767952720608,4.25439360385512,1.14682982109922,3.7096991424389,0.000207505684990033,0.00300332442663256
"2","Rn45s",110832.831525828,2.69433204201457,0.877692906513694,3.06978901392378,0.00214210037687946,0.0188637567137328
"3","Col6a1",937.297992979622,1.84999700083681,0.460751892636122,4.01516961819155,5.94030579733195e-05,0.0010885671487868
"4","Igfbpl1",136.526309408192,1.69532988784156,0.22033133111414,7.69445670422297,1.42096649901854e-14,3.79653829207773e-12
"5","Pappa2",34.4949067594626,1.67307999932726,0.341145789166201,4.90429620549167,9.37629106255649e-07,3.5584622813833e-05
"6","Rnaset2b (2)",33.1999491846883,1.65558532732446,0.341863488819628,4.84282581050347,1.28005499053886e-06,4.59684263941094e-05
"7","Cd24a",265.591804343491,1.56739472190327,0.280318848793808,5.59147102896454,2.25153865884904e-08,1.44607235305598e-06
"8","Dach2",42.8636718899996,1.50998959711384,0.193755442760908,7.79327576865623,6.52939024193695e-15,2.02851451725665e-12
"9","Scand1",47.9963450798255,1.47077243796425,0.25763323732147,5.7087837472191,1.13786355081042e-08,8.30640392091604e-07
"10","Tmc6",102.359108640898,1.46424605245142,0.173487727747488,8.44005550976286,3.17186993669199e-17,1.84230480366384e-14
"11","Mmp19",48.5450686002369,1.44351290057684,0.26835118075742,5.37919340061233,7.48202985391714e-08,3.98216879754897e-06
"12","Ubald2",159.832808027378,1.35495432853878,0.241435263996174,5.61208129298068,1.99907478853556e-08,1.31554877340131e-06
"13","Rprm",856.939607156451,1.33855351478287,0.0919141068372685,14.5630911384772,4.82268218000759e-48,2.14754037475738e-44
"14","Vash2",45.3422625414331,1.28807237936819,0.192977389561939,6.6747321139131,2.47684174707342e-11,3.71776729203975e-09
"15","Plin4",130.474857145407,1.2754234575392,0.263012064586163,4.84929639842196,1.23900168784881e-06,4.48558903739086e-05
"16","Sox11",655.409832236131,1.26434835910793,0.108789600097808,11.6219598010399,3.18739519885059e-31,1.06451031153612e-27
"17","Ctgf",48.8682121797946,1.20845990640683,0.329233304463222,3.67052752569211,0.000242050400817291,0.00341091909759303
"18","Draxin",60.1876207081672,1.154492287666,0.174723684240995,6.60753173034981,3.90780446002633e-11,5.59472414138938e-09
"19","Drd1",197.916812178291,1.14884299544249,0.177333928747728,6.47841619229456,9.26903909684478e-11,1.16816125749764e-08
"20","Adamts18",47.667292529043,1.14496926283824,0.222056975201842,5.15619588980487,2.52017251022761e-07,1.12839159440581e-05
"21","Igfbp6",51.3835334329224,1.14299471893492,0.237209196630642,4.81850929546662,1.4463478845949e-06,5.04484631600607e-05
"22","Tymp",43.9272686977013,1.10443020149384,0.195455563644792,5.65054368828795,1.59941149329524e-08,1.11866691826865e-06
"23","Fmo2",87.0984921007519,1.10023097720868,0.409559683359656,2.68637520222542,0.00722319260146697,0.0465034361267457
"24","Angptl4",27.2876309588661,1.0995682972732,0.377193234440859,2.91513260809985,0.00355537438166316,0.0274544776674209
"25","Sp9",21.6659662575478,1.08745125030881,0.327049471952451,3.32503594583669,0.000884071360969984,0.00938070636314378
"26","Zfp771",105.303851522887,1.0843950740153,0.136166077930181,7.96376814621424,1.66877811768763e-15,6.19255746505251e-13
"27","Penk",436.445079929936,1.08361175998921,0.175633537777751,6.16973144024706,6.84060799677797e-10,6.66423706452877e-08
"28","Col6a2",127.320697888291,1.0316995398475,0.529967827567445,1.94672107660384,0.0515681833683679,0.183786879442253
"29","Dcx",812.377309266227,1.02556258957031,0.110535113560674,9.27816108866955,1.72428677444002e-20,2.09406791088584e-17
"30","Trim67",131.063547037726,1.01761301720314,0.161630822874891,6.29590940083756,3.05602836486992e-10,3.18949085361697e-08
"31","Hist2h3c2 (2)",19.7748161201194,0.997449056670436,0.476565651739055,2.09299401463493,0.0363496888585346,0.143752366329534
