"","genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Lcn2",4.53424531547033,4.9758328515939,1.19327848458224,4.16988399261712,3.04754727275788e-05,0.000448786588467036
"2","Ly6g6e",25.1287892316941,4.89376950370096,0.69708510956186,7.02033286405566,2.21340290822388e-12,3.25641682582561e-10
"3","Scarna13",2.78823438366758,4.78888961429818,2.86511006343699,1.67145048820687,0.094632730547117,0.231642981146176
"4","Gm6644",6.200285677436,3.91259382141222,2.77912890417285,1.40784899021326,0.159175790295915,0.329398414233652
"5","Ccdc68",5.61086444583679,3.82935429577576,1.03379652189795,3.7041663563981,0.000212087047599496,0.00212564107153865
"6","Prnd",5.52019567318761,3.77476935916355,0.987735438278962,3.82164010004616,0.000132567065672941,0.0014501102436751
"7","Drd4",8.02037241013728,3.77400610078183,0.912540709712153,4.13571258861677,3.53854852831727e-05,0.000510487181305345
"8","Fgfbp1",3.93051490095,3.73087528863409,1.22104371701893,3.05548051771863,0.00224700200698111,0.0140844036571022
"9","Gm13749",4.99766161203182,3.68547749584004,1.09023358712379,3.38044758423093,0.000723678766906037,0.00575804610709166
"10","Cldn3",3.62438075826264,3.62128207590601,0.996362211669341,3.63450363080188,0.000278516335365899,0.00266961416719803
"11","Shisa8",14.5047411828621,3.59445254777532,0.732936513035194,4.90417994444046,9.38184558021125e-07,2.37516041921095e-05
"12","Lox",16.7976884579916,3.51384800008046,0.669576585264377,5.24786570709166,1.53871392400447e-07,5.30890346124994e-06
"13","Cytl1",9.3291558165229,3.3477889526694,1.12746187203789,2.96931456016182,0.00298464895694116,0.0175115125972526
"14","9130024F11Rik",2.76904640330119,3.21076638678542,1.66814057230152,1.92475768535235,0.0542596800289651,0.155290825849094
"15","Hist1h3d",5.4184177650803,3.16910345131542,0.79195340521533,4.00162866962324,6.29079703060849e-05,0.000800856977080321
"16","Tac2",52.1228627743817,3.1623162453457,0.486051007876881,6.50614070148524,7.7106011418673e-11,7.63287885498832e-09
"17","Aplnr",9.38834927367501,3.1033148305054,0.925383098631959,3.35354604497661,0.000797831380632108,0.00624607448843259
"18","Rbp3",7.08763895382081,3.08506806563931,0.70710312475741,4.36296766005344,1.28309916900372e-05,0.000216557700655985
"19","Stac",15.4332250862294,3.08450442149402,0.812487320663468,3.79637237781785,0.000146828896045144,0.00157374339094434
"20","Penk",1304.37032074021,2.95702769952145,0.556456072201471,5.314036178674,1.07223316058844e-07,3.91603656659877e-06
"21","Rmrp",8.98449781687544,2.95075100017885,1.03766392095486,2.843648064263,0.0044600281438906,0.0240671760913405
"22","Slc6a4",5.44396527489675,2.93757065987342,0.813612470130956,3.61052806798868,0.000305574229766004,0.00287247143652853
"23","Cwh43",3.91363038812512,2.8967295850326,1.03952601714004,2.78658690332938,0.00532663335536698,0.0276159731306343
"24","Prlr",186.152253467195,2.85350131255607,0.445918240511146,6.3991580817263,1.56236023569563e-10,1.39860867236024e-08
"25","Lypd8",2.97654844840591,2.84727271230146,0.938810526769615,3.03285128480476,0.00242254954008835,0.0149020976155164
"26","Krt75",2.86469488342718,2.80220129798016,1.18164709622941,2.37143670637527,0.0177190812365796,0.0678607740384232
"27","Akr1c18",7.27838130235545,2.77290168765916,0.754107648364711,3.67706347186932,0.000235934349926339,0.00232725881537082
